Table 4-20:  Energy Intensity of Passenger Modes (Btu per passenger-mile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,,
"1960-70: Air Transport Association, available at http://www.air-transport.org/ as of July 31, 2002.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2014: U.S. Department of Transportation, Bureau of Transportation Statistics, T1: U.S. Air Carrier Traffic and Capacity Summary by Service Class, available at http://www.transtats.bts.gov/Fields.asp?Table_ID=264 as of Oct. 27, 2015.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel consumed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Office of Airline Information, Airline Fuel Cost and Consumption, available at http://www.transtats.bts.gov/fuel.asp as of Oct. 27, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger car:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, short wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-14: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of June 6, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other 2-axle 4-tire vehicle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, table VM-201A, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2006: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of Oct. 6, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Light duty vehicle, long wheel base:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2007-14: Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of June 6, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-94: Ibid., Highway Statistics, Summary to 1985 (Washington, DC: 1986), table VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For 1970-94, the unrevised motorcycle vehicle-miles are subtracted from the combined passenger car and motorcycle vehicle-miles from VM-201A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014:  Ibid., Highway Statistics (Washington, DC: Annual Issues), table VM-1, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of June 6, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit motor bus:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-95: American Public Transportation Association, 2010 Public Transportation Fact Book Appendix A: Historical Tables (Washington, DC: Annual Issues), tables 2, 6, 30, 32  and similar tables in earlier editions, available at http://www.apta.com/resources/statistics/Pages/transitstats.aspx as of Aug 23, 2010. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014:  U.S. Department of Transportation, Federal Transit Administration, National Transit Database, tables 17, 19, and similar tables in earlier editions, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of Apr. 13, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2001: Amtrak., State and Local Affairs Department, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2001-14: Amtrak, personal communications, Jan. 7, 2010, Jul. 26, 2011, Apr. 24, 2012, June 9, 2014, Sept. 11, 2015, and Jun. 21, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
